order_id,order_date,region,category,customer_segment,sales,profit,quantity
10097,2024-03-12,West,Electronics,Corporate,374.31,91.59,1
10098,2024-01-29,South,Furniture,Consumer,614.18,183.87,3
10099,2024-03-28,North,Furniture,Consumer,1165.6,131.98,2
10100,2024-02-11,West,Furniture,Corporate,81.31,7.06,2
10101,2024-01-08,South,Office Supplies,Home Office,10.98,4.13,5
10102,2024-01-30,East,Office Supplies,Corporate,18.15,3.28,2
10103,2024-01-05,East,Electronics,Consumer,3263.39,476.79,4
10104,2024-02-10,East,Electronics,Corporate,8.26,-0.49,1
10105,2024-02-21,West,Electronics,Corporate,48.37,,1
10106,2024-02-04,East,Furniture,Corporate,528.62,81.77,3
10107,2024-01-09,South,Office Supplies,Home Office,22.41,3.31,3
10108,2024-01-28,East,Office Supplies,Consumer,82.62,-3.81,7
10109,2024-03-13,East,Office Supplies,Home Office,36.81,10.07,2
10110,2024-02-10,North,Office Supplies,Consumer,72.95,27.19,6
10111,2024-01-28,West,Office Supplies,Home Office,176.33,31.29,6
10112,2024-03-24,East,Electronics,Home Office,867.9,133.62,1
10113,2024-03-04,South,Office Supplies,Corporate,15.92,5.11,1
10114,2024-02-20,East,Furniture,Consumer,203.95,18.88,1
10115,2024-03-23,North,Furniture,Corporate,301.92,89.69,1
10116,2024-02-28,North,Furniture,Home Office,298.88,,1
10117,2024-01-19,South,Electronics,Home Office,334.52,,1
10118,2024-02-03,South,Electronics,Consumer,281.65,-39.52,2
10119,2024-01-18,West,Office Supplies,Corporate,45.48,15.22,5
10120,2024-02-01,West,Electronics,Consumer,504.09,-27.95,3
10121,2024-03-12,East,Electronics,Consumer,33.66,5.75,1
10122,2024-03-09,East,Electronics,Corporate,201.19,25.36,1
10123,2024-02-03,North,Furniture,Consumer,39.79,3.25,1
10124,2024-03-15,North,Office Supplies,Home Office,13.99,2.69,2
10125,2024-02-24,East,Office Supplies,Home Office,6.09,0.94,1
10126,2024-03-15,West,Office Supplies,Home Office,35.87,10.16,8
10127,2024-02-21,North,Furniture,Home Office,182.93,39.74,2
10128,2024-02-16,South,Furniture,Home Office,62.1,13.26,1
10129,2024-01-29,East,Furniture,Corporate,131.38,31.25,1
10130,2024-01-18,North,Furniture,Home Office,279.98,77.48,1
10131,2024-03-06,South,Electronics,Consumer,117.8,26.62,1
10132,2024-03-04,East,Electronics,Consumer,312.03,50.69,2
10133,2024-01-12,South,Electronics,Corporate,216.31,28.09,4
10134,2024-01-07,South,Office Supplies,Corporate,26.52,8.87,2
10135,2024-01-15,North,Furniture,Corporate,267.34,,1
10136,2024-01-20,West,Office Supplies,Consumer,38.26,5.16,1
10137,2024-03-21,West,Office Supplies,Consumer,39.32,11.49,4
10138,2024-01-21,South,Electronics,Home Office,1717.1,-23.38,2
10139,2024-03-28,South,Office Supplies,Home Office,37.76,5.5,5
10140,2024-02-24,South,Office Supplies,Consumer,48.2,6.28,3
10141,2024-03-17,South,Electronics,Home Office,222.99,31.21,3
10142,2024-01-09,East,furniture,Consumer,184.22,25.27,1
10143,2024-02-19,West,Electronics,Corporate,355.07,50.02,3
10144,2024-02-18,West,Electronics,Home Office,218.92,45.32,1
10145,2024-03-17,South,Electronics,Home Office,380.35,54.12,1
10146,2024-02-29,South,Office Supplies,Home Office,6.75,0.85,3
10147,2024-03-08,West,Office Supplies,Home Office,24.88,3.22,4
10148,2024-02-02,South,Office Supplies,Corporate,44.6,14.82,4
10149,2024-03-11,North,Furniture,Consumer,843.89,91.29,3
10150,2024-01-02,West,Electronics,Consumer,162.15,14.51,1
10151,2024-03-28,South,Office Supplies,Corporate,73.15,28.92,7
10152,2024-01-15,North,Office Supplies,Consumer,219.73,63.92,8
10153,2024-03-28,South,Furniture,Home Office,268.33,68.7,1
10154,2024-03-09,West,Office Supplies,Home Office,25.22,2.79,1
10155,2024-02-04,North,Furniture,Home Office,499.95,137.47,3
10156,2024-03-23,West,Office Supplies,Corporate,11.29,2.76,-2
10157,2024-02-13,North,Furniture,Corporate,538.77,-9.8,1
10158,2024-01-15,West,Electronics,Consumer,51.7,3.5,1
10159,2024-02-07,West,Electronics,Corporate,100.99,22.01,2
10160,2024-02-25,North,Electronics,Home Office,1132.68,118.49,1
10161,2024-01-21,North,Office Supplies,Corporate,23.22,7.39,4
10162,2024-02-28,East,Office Supplies,Corporate,26.05,4.81,3
10163,2024-01-01,South,Furniture,Corporate,346.27,-47.4,1
10164,2024-02-03,East,Office Supplies,Home Office,18.05,3.21,4
10165,2024-03-05,East,Furniture,Home Office,579.87,65.68,2
10166,2024-01-23,West,Furniture,Consumer,335.72,67.0,1
10167,2024-03-05,West,Furniture,Consumer,477.84,-39.06,1
10168,2024-01-14,West,Furniture,Corporate,365.58,90.11,1
10169,2024-03-21,East,Furniture,Home Office,545.64,99.34,2
10170,2024-02-08,South,Furniture,Home Office,590.27,84.51,2
10171,2024-03-22,West,Electronics,Home Office,254.38,53.08,1
10172,2024-03-05,South,Electronics,Home Office,99.63,-13.3,3
10173,2024-03-18,North,Furniture,Consumer,185.83,32.34,1
10174,2024-01-26,North,Furniture,Consumer,368.8,,1
10175,2024-01-20,West,Electronics,Consumer,114.59,24.71,1
10176,2024-02-17,South,Electronics,Corporate,125.11,21.79,2
10177,2024-01-21,North,Electronics,Home Office,213.93,18.18,1
10178,2024-03-10,East,Furniture,Home Office,31.66,4.65,1
10179,2024-03-08,South,Office Supplies,Home Office,125.6,26.89,6
10180,2024-01-01,North,Furniture,Consumer,123.6,36.07,4
10181,2024-03-17,South,Office Supplies,Consumer,4.15,1.0,2
10182,2024-02-11,South,Office Supplies,Home Office,35.79,6.15,4
10183,2024-03-03,South,Electronics,Home Office,89.39,,2
10184,2024-01-03,North,Electronics,Corporate,172.87,29.45,2
10185,2024-01-15,West,Furniture,Corporate,126.14,23.62,1
10186,2024-02-16,North,Office Supplies,Home Office,13.67,1.55,1
10187,2024-02-09,North,Office Supplies,Home Office,15.23,-0.38,3
10188,2024-01-31,East,Furniture,Corporate,315.75,33.17,1
10189,2024-01-08,South,Furniture,Corporate,234.37,39.94,1
10190,2024-01-31,North,Furniture,Corporate,472.74,43.14,1
10191,2024-03-13,North,Electronics,Home Office,17.13,1.13,3
10192,2024-01-11,North,Electronics,Home Office,184.11,-15.6,4
10193,2024-01-11,East,Furniture,Home Office,293.05,59.46,1
10194,2024-03-03,West,Furniture,Consumer,69.45,12.38,1
10195,2024-01-09,West,Furniture,Home Office,128.84,20.92,2
10196,2024-03-09,North,Electronics,Corporate,170.04,22.43,2
10197,2024-01-17,South,Electronics,Home Office,30.16,7.32,3
10198,2024-01-17,East,Office Supplies,Corporate,18.8,,1
10199,2024-03-25,North,Furniture,Home Office,586.4,97.16,1
10200,2024-03-01,East,Furniture,Consumer,403.73,-23.39,2
10201,2024-03-11,East,Furniture,Consumer,287.56,48.42,1
10202,2024-01-22,West,Office Supplies,Corporate,29.24,10.9,3
10203,2024-02-03,East,Furniture,Consumer,727.61,215.24,3
10204,2024-03-08,West,Office Supplies,Home Office,29.85,10.74,2
10205,2024-03-18,South,Electronics,Corporate,278.09,38.33,1
10206,2024-02-24,South,Electronics,Consumer,221.53,41.55,1
10207,2024-01-28,South,Office Supplies,Consumer,23.97,7.26,2
10208,2024-03-10,West,Electronics,Home Office,207.77,13.62,6
10209,2024-03-29,North,Electronics,Corporate,245.51,37.94,1
10210,2024-01-26,East,Furniture,Corporate,331.33,46.99,1
10211,2024-02-09,West,Office Supplies,Consumer,36.66,9.2,5
10212,2024-02-21,West,Office Supplies,Consumer,26.61,4.83,4
10213,2024-03-26,North,Office Supplies,Home Office,6.58,0.75,1
10214,2024-03-24,North,Furniture,Home Office,48.01,6.7,-5
10215,2024-02-17,South,Furniture,Corporate,64.35,12.14,1
10216,2024-02-26,West,Electronics,Corporate,642.15,132.52,4
10217,2024-03-07,North,Office Supplies,Home Office,76.05,17.11,3
10218,2024-02-27,North,Electronics,Corporate,34.55,6.83,3
10219,2024-01-16,East,Furniture,Consumer,270.33,28.26,1
10220,2024-02-01,East,Office supplies,Corporate,12.96,3.21,1
10221,2024-01-29,East,Office Supplies,Consumer,30.71,10.17,6
10222,2024-01-09,South,Furniture,Corporate,30.07,4.39,1
10223,2024-02-13,East,Office Supplies,Corporate,19.79,3.44,3
10224,2024-01-03,South,Furniture,Home Office,144.85,18.77,3
10225,2024-03-16,South,Electronics,Consumer,334.83,34.15,1
10226,2024-03-11,South,Office Supplies,Home Office,5.79,1.36,1
10227,2024-01-30,South,Furniture,Consumer,114.66,-3.81,2
10228,2024-03-16,West,Office Supplies,Consumer,71.55,8.72,10
10229,2024-01-29,West,Electronics,Consumer,68.44,12.55,6
10230,2024-01-01,West,Office Supplies,Corporate,21.76,7.71,3
10231,2024-01-10,North,Furniture,Corporate,389.24,109.88,1
10232,2024-03-31,North,Electronics,Consumer,295.38,35.95,4
10233,2024-03-21,North,Furniture,Corporate,31.8,3.77,1
10234,2024-01-08,East,Office Supplies,Corporate,62.78,15.25,6
10235,2024-01-30,East,Furniture,Corporate,274.15,78.67,1
10236,2024-01-09,North,Electronics,Corporate,37.01,2.13,4
10237,01/05/2024,South,Office Supplies,Corporate,11.65,-1.31,1
10238,2024-02-12,West,Furniture,Home Office,165.51,42.98,1
10239,2024-01-10,West,Furniture,Home Office,726.7,171.54,2
10240,2024-03-06,South,Furniture,Consumer,70.25,13.56,2
10241,2024-01-31,West,Office Supplies,Home Office,44.5,8.93,6
10242,2024-02-05,North,Office Supplies,Consumer,13.08,4.19,1
10243,2024-03-26,South,Electronics,Corporate,75.24,,1
10244,2024-03-03,East,Furniture,Home Office,356.0,71.77,1
10245,2024-01-28,West,Furniture,Corporate,937.41,192.9,2
10246,2024-03-10,West,Furniture,Corporate,154.56,23.72,1
10247,2024-01-17,North,Electronics,Consumer,62.44,14.92,1
10248,2024-03-14,East,Office Supplies,Home Office,13.18,5.19,1
10249,2024-03-14,South,Office Supplies,Consumer,28.21,6.91,4
10250,2024-03-01,North,Furniture,Consumer,227.62,48.21,1
10251,2024-02-01,North,Furniture,Consumer,689.77,145.88,2
10252,2024-03-01,North,Furniture,Consumer,455.66,106.74,1
10253,2024-02-22,South,Furniture,Consumer,315.99,72.03,1
10254,01/25/2024,East,Office Supplies,Consumer,25.02,2.57,2
10255,2024-01-13,West,Electronics,Home Office,84.84,7.88,2
10256,2024-01-13,South,Electronics,Consumer,97.09,21.14,1
10257,2024-03-25,East,Electronics,Corporate,117.11,27.42,2
10258,2024-02-25,East,Furniture,Home Office,336.93,79.25,1
10259,2024-02-15,South,Furniture,Home Office,210.21,-16.55,1
10260,2024-02-24,West,Office Supplies,Home Office,19.01,2.3,1
10261,2024-02-22,East,Office Supplies,Corporate,10.43,2.16,2
10262,2024-02-29,North,Office Supplies,Corporate,50.85,13.53,4
10263,2024-01-07,West,Furniture,Corporate,99.24,22.65,1
10264,2024-03-27,North,Electronics,Consumer,68.36,3.68,2
10265,2024-03-24,East,Office Supplies,Corporate,18.15,7.04,4
10266,2024-03-23,North,Furniture,Home Office,425.04,72.52,1
10267,2024-01-13,East,Furniture,Consumer,64.6,8.1,1
10268,2024-01-08,South,Furniture,Consumer,136.91,27.84,1
10269,2024-02-21,South,Office Supplies,Corporate,65.91,24.04,6
10270,2024-02-13,West,Office Supplies,Consumer,47.34,5.79,4
10271,2024-01-14,West,Electronics,Consumer,17.39,2.48,2
10272,2024-02-01,West,Furniture,Home Office,441.35,110.35,1
10273,2024-01-25,East,Electronics,Corporate,217.12,37.8,1
10274,2024-01-25,West,Office Supplies,Consumer,24.22,7.63,5
10275,2024-03-09,South,Electronics,Corporate,44.62,8.44,1
10276,2024-02-27,West,Electronics,Corporate,197.73,17.44,2
10277,2024-01-18,South,Office Supplies,Corporate,17.21,5.33,1
10278,2024-02-24,North,Electronics,Home Office,80.01,9.17,1
10279,2024-01-24,North,Electronics,Corporate,91.39,22.83,2
10280,2024-02-05,West,Furniture,Home Office,154.49,24.61,1
10281,2024-02-29,North,Electronics,Consumer,551.14,95.85,2
10282,2024-02-01,South,Electronics,Corporate,192.04,32.53,2
10283,2024-01-10,West,Furniture,Corporate,259.21,46.67,3
10284,2024-02-26,North,Furniture,Corporate,428.73,94.28,2
10285,2024-03-11,North,Electronics,Corporate,86.75,14.92,1
10286,2024-01-13,West,Furniture,Consumer,371.78,52.4,1
10287,2024-01-07,West,Electronics,Consumer,60.34,13.65,1
10288,2024-03-24,West,Electronics,Corporate,853.81,149.01,3
10289,2024-03-10,South,Electronics,Corporate,2862.72,183.81,3
10290,2024-01-02,South,Office Supplies,Corporate,51.28,7.12,7
10291,2024-01-12,East,Furniture,Corporate,214.08,21.02,1
10292,2024-01-31,North,Electronics,Corporate,1990.27,132.26,2
10293,2024-01-22,East,Furniture,Consumer,739.37,110.21,2
10294,2024-02-22,South,Furniture,Consumer,902.94,144.03,2
10295,2024-03-03,East,Electronics,Consumer,36.49,5.86,5
10296,2024-03-02,North,Electronics,Corporate,152.71,37.26,2
10297,2024-01-28,North,Electronics,Home Office,2664.61,249.52,3
10298,2024-02-21,,Office Supplies,Home Office,26.46,5.43,1
10299,2024-01-08,East,Office Supplies,Consumer,52.07,18.13,9
10300,2024-01-22,West,Electronics,Consumer,84.19,,2
10301,2024-02-18,North,Office Supplies,Consumer,10.07,1.34,1
10302,2024-01-01,South,Furniture,Home Office,350.01,46.25,1
10303,2024-02-19,South,Office Supplies,Corporate,58.46,17.56,4
10304,2024-02-03,East,Electronics,Corporate,108.16,-11.92,2
10305,2024-02-28,North,Office Supplies,Home Office,12.12,4.25,1
10306,2024-02-06,South,Furniture,Corporate,196.17,34.97,1
10307,2024-02-24,West,Electronics,Home Office,241.44,22.33,3
10308,2024-03-30,West,Furniture,Consumer,316.71,38.2,1
10309,2024-03-12,East,Office Supplies,Corporate,34.13,12.65,5
10310,2024-03-25,East,Office Supplies,Home Office,30.54,10.63,2
10311,2024-03-03,North,Office Supplies,Home Office,22.83,5.93,3
10312,2024-01-20,East,Electronics,Corporate,147.88,20.15,1
10313,2024-01-25,West,Office Supplies,Consumer,37.28,7.78,5
10314,2024-02-07,South,Office Supplies,Consumer,26.83,5.78,2
10315,2024-01-28,South,Office Supplies,Corporate,7.85,1.16,1
10316,2024-01-08,West,Office Supplies,Consumer,42.03,9.29,4
10317,2024-03-15,South,Office Supplies,Home Office,33.51,7.32,2
10318,2024-03-10,West,Furniture,Home Office,140.29,33.8,1
10319,2024-01-08,North,Furniture,Home Office,359.39,82.31,1
10320,2024-02-10,North,Office Supplies,Consumer,50.7,9.76,5
10321,2024-01-08,South,Electronics,Consumer,3366.52,805.78,3
10322,2024-01-07,North,Furniture,Consumer,337.71,40.48,1
10323,2024-03-15,West,Office Supplies,Home Office,28.61,-2.94,3
10324,2024-03-02,North,Office Supplies,Corporate,7.21,2.72,1
10325,2024-03-05,North,Electronics,Consumer,357.47,-33.02,1
10326,2024-03-08,North,Electronics,Corporate,167.08,22.59,2
10327,2024-01-21,East,Office Supplies,Home Office,100.2,11.56,4
10328,2024-01-08,East,Office Supplies,Home Office,25.24,5.26,3
10329,2024-03-06,East,Electronics,Home Office,377.22,86.44,1
10330,2024-01-11,East,Electronics,Consumer,92.44,17.03,3
10331,2024-01-24,North,Electronics,Consumer,357.89,51.37,2
10332,2024-01-09,West,Office Supplies,Consumer,89.1,9.98,5
10333,2024-03-17,South,Electronics,Home Office,162.6,39.97,1
10334,2024-01-09,West,Office Supplies,Home Office,44.26,14.35,6
10335,2024-03-27,East,Electronics,Home Office,385.77,44.9,1
10336,2024-01-31,West,Furniture,Consumer,245.11,,1
10337,2024-02-21,West,Electronics,Home Office,45.39,7.72,1
10338,2024-01-16,South,Furniture,Home Office,1552.41,-74.63,4
10339,2024-03-13,East,Office Supplies,Corporate,28.91,5.86,1
10340,2024-02-01,East,Office Supplies,Corporate,29.95,6.2,3
10341,2024-03-15,East,Office Supplies,Home Office,9.42,,1
10342,2024-03-17,South,Electronics,Corporate,397.47,55.18,1
10343,2024-01-06,East,Office Supplies,Corporate,23.18,3.21,4
10344,2024-03-20,North,Furniture,Home Office,31.28,4.46,1
10345,2024-01-11,North,Electronics,Home Office,98.55,7.01,3
10346,2024-02-23,North,Electronics,Corporate,121.36,27.86,2
10347,2024-03-25,East,Electronics,Consumer,573.4,31.07,2
10348,2024-03-15,South,Office Supplies,Consumer,10.89,3.0,4
10349,2024-03-13,East,Electronics,Consumer,216.1,15.78,2
10350,2024-03-07,East,Electronics,Home Office,215.48,36.71,4
10351,2024-02-10,East,Electronics,Corporate,158.78,25.48,1
10352,2024-02-03,West,Electronics,Home Office,518.53,40.81,2
10353,2024-01-27,East,Electronics,Corporate,77.81,16.79,2
10354,2024-03-26,North,Electronics,Home Office,108.38,16.61,1
10355,2024-02-10,North,Office Supplies,Home Office,8.38,1.94,3
10356,2024-01-31,North,Office Supplies,Consumer,13.38,4.65,1
10357,2024-02-03,West,Furniture,Corporate,194.95,38.8,1
10358,2024-02-20,North,Electronics,Home Office,499.96,33.01,2
10359,2024-01-17,North,Office Supplies,Corporate,21.92,5.52,3
10360,2024-03-26,East,Office Supplies,Home Office,10.88,1.69,1
10361,2024-03-23,East,Office Supplies,Home Office,14.16,2.94,3
10362,2024-02-08,South,Office Supplies,Consumer,16.05,4.7,1
10363,2024-02-28,West,Office Supplies,Home Office,32.53,4.2,4
10364,2024-02-10,South,Office Supplies,Corporate,66.53,11.14,5
10365,2024-01-10,South,Furniture,Consumer,219.96,20.48,3
10366,2024-01-02,West,Furniture,Home Office,402.64,67.29,1
10367,2024-02-28,West,Office Supplies,Corporate,79.37,19.17,6
10368,2024-03-20,West,Electronics,Home Office,44.32,4.53,7
10369,2024-03-13,West,Electronics,Home Office,75.09,17.89,1
10370,2024-01-13,West,Electronics,Home Office,81.58,18.14,1
10371,2024-01-10,South,Office Supplies,Consumer,11.23,1.79,1
10372,2024-03-09,West,Electronics,Corporate,38.59,5.93,1
10373,2024-01-28,North,Office Supplies,Home Office,13.08,4.79,2
10374,2024-03-05,East,Furniture,Corporate,83.11,23.06,2
10375,2024-02-03,East,Electronics,Home Office,121.07,11.13,2
10376,2024-01-17,East,Office Supplies,Consumer,120.53,23.34,6
10377,2024-02-14,West,Furniture,Home Office,1025.9,284.52,2
10378,2024-01-09,North,Electronics,Consumer,97.4,11.04,1
10379,2024-02-01,South,Electronics,Home Office,195.09,34.95,3
10380,2024-02-17,North,Electronics,Consumer,228.78,17.46,5
10381,2024-02-06,East,Office Supplies,Consumer,56.3,14.26,7
10382,2024-01-21,North,Furniture,Corporate,746.88,178.94,2
10383,2024-02-26,North,Furniture,Corporate,77.1,11.23,1
10384,2024-03-10,South,Electronics,Consumer,202.05,27.91,1
10385,2024-03-31,West,Office Supplies,Home Office,34.61,10.2,5
10386,2024-02-08,North,Office Supplies,Corporate,29.65,-4.09,5
10387,2024-03-19,East,Office Supplies,Consumer,112.13,35.39,5
10388,2024-03-24,South,Electronics,Home Office,104.42,,2
10389,2024-03-08,North,Office Supplies,Corporate,26.15,10.4,5
10390,2024-01-02,North,Office Supplies,Corporate,48.47,8.35,3
10391,2024-03-26,East,Office Supplies,Consumer,30.88,3.65,4
10392,2024-03-11,West,Electronics,Consumer,33.53,7.78,1
10393,2024-02-08,North,Furniture,Corporate,548.88,45.51,1
10394,2024-03-25,North,Furniture,Consumer,351.14,57.22,1
10395,2024-01-14,West,Electronics,Home Office,614.11,41.45,3
10396,2024-01-18,North,Office Supplies,Consumer,57.91,8.24,2
10397,2024-02-03,East,Office Supplies,Corporate,7.63,2.86,1
10398,2024-01-15,South,Furniture,Consumer,311.22,80.66,1
10399,2024-01-14,East,Furniture,Corporate,361.28,45.12,1
10400,2024-03-11,South,Office Supplies,Home Office,6.14,1.2,1
10401,2024-01-20,East,Furniture,Corporate,473.25,38.49,1
10402,2024-02-04,East,Electronics,Consumer,610.37,54.38,3
10403,2024-02-06,West,Electronics,Home Office,158.56,22.68,3
10404,2024-03-18,West,Electronics,Home Office,198.06,43.51,6
10405,2024-01-27,West,Office Supplies,Consumer,12.82,3.87,1
10406,2024-02-13,West,Office Supplies,Corporate,50.61,18.69,8
10407,2024-01-27,South,Office supplies,Consumer,39.43,6.81,1
10408,2024-03-28,South,Office Supplies,Consumer,37.06,12.78,7
10409,2024-03-22,South,Furniture,Corporate,549.35,63.95,2
10410,2024-02-03,South,Electronics,Corporate,1171.87,227.17,3
10411,2024-03-05,North,Electronics,Consumer,210.06,17.49,1
10412,2024-03-03,North,Furniture,Corporate,283.34,61.53,1
10413,2024-02-02,East,Furniture,Corporate,51.81,11.65,1
10414,2024-01-07,South,Office Supplies,Consumer,9.7,1.95,2
10415,2024-01-12,South,Electronics,Consumer,138.02,,2
10416,2024-03-22,South,Office Supplies,Home Office,10.92,-0.19,2
10417,2024-02-24,North,Electronics,Corporate,217.36,35.98,1
10418,2024-02-05,South,Electronics,Home Office,620.77,87.61,5
10419,2024-01-06,East,Office Supplies,Consumer,70.75,25.16,3
10420,2024-01-01,West,Furniture,Consumer,64.16,18.3,1
10421,2024-02-12,South,Electronics,Consumer,392.91,35.5,2
10422,2024-01-17,East,Furniture,Corporate,384.99,34.22,1
10423,2024-03-22,South,Electronics,Consumer,306.3,17.42,2
10424,2024-02-03,West,Electronics,Home Office,145.48,29.14,1
10425,2024-01-21,South,Furniture,Corporate,139.8,-8.98,2
10426,2024-02-26,West,Furniture,Home Office,330.36,89.63,1
